,type,name,address,capacity,code,coordinate,residential,demand,capacity_pct,capacity_per_k,longitude,latitude
20,認知症対応型共同生活介護,グループホームさとほろ,札幌市中央区宮の森1条6丁目1番16号,18,01101,"[141.311218, 43.061241]",1,28764.814,0.06257645191100489,0.6257645191100489,141.311218,43.061241
21,認知症対応型共同生活介護,グループホームアイケア札幌,札幌市中央区南１３条西１３丁目２－２６,18,01101,"[141.338104, 43.04208]",1,28764.814,0.06257645191100489,0.6257645191100489,141.338104,43.04208
22,認知症対応型共同生活介護,ツクイ札幌山鼻グループホーム,札幌市中央区南１４条西１８丁目５－１,18,01101,"[141.329941, 43.040287]",1,28764.814,0.06257645191100489,0.6257645191100489,141.329941,43.040287
23,認知症対応型共同生活介護,グループホーム舞,札幌市中央区南２５条西１３丁目1-22,18,01101,"[141.340836, 43.025578]",1,28764.814,0.06257645191100489,0.6257645191100489,141.340836,43.025578
24,認知症対応型共同生活介護,グループホーム中島公園,札幌市中央区南13条西8丁目2番3号,18,01101,"[141.348801, 43.042583]",1,28764.814,0.06257645191100489,0.6257645191100489,141.348801,43.042583
25,認知症対応型共同生活介護,満快のふる郷さくら山鼻,札幌市中央区南16条西9丁目1番33号,18,01101,"[141.345825, 43.038925]",1,28764.814,0.06257645191100489,0.6257645191100489,141.345825,43.038925
26,認知症対応型共同生活介護,グループホーム　ハートハウス南円山,札幌市中央区南10条西23丁目2-13,18,01101,"[141.321487, 43.041565]",1,28764.814,0.06257645191100489,0.6257645191100489,141.321487,43.041565
27,認知症対応型共同生活介護,株式会社創生事業団　グッドケア・大通西,札幌市中央区大通西12丁目4番地64,18,01101,"[141.339005, 43.058052]",1,28764.814,0.06257645191100489,0.6257645191100489,141.339005,43.058052
28,認知症対応型共同生活介護,グループホームあいある円山,札幌市中央区北１条西24丁目1－25,15,01101,"[141.32132, 43.057606]",1,28764.814,0.05214704325917074,0.5214704325917073,141.32132,43.057606
29,認知症対応型共同生活介護,グループホームみのり大通東,札幌市中央区大通東6丁目12番地-21,15,01101,"[141.365784, 43.062988]",1,28764.814,0.05214704325917074,0.5214704325917073,141.365784,43.062988
30,認知症対応型共同生活介護,グループホーム　ピアハウスPOP,札幌市中央区北4条西16丁目1-3,9,01101,"[141.331177, 43.063557]",1,28764.814,0.031288225955502444,0.31288225955502447,141.331177,43.063557
31,認知症対応型共同生活介護,グループホームライフケア中央倶楽部,札幌市中央区北7条西12丁目11-2,9,01101,"[141.336624, 43.06749]",1,28764.814,0.031288225955502444,0.31288225955502447,141.336624,43.06749
32,認知症対応型共同生活介護,グループホームひまわりII,札幌市中央区南29条西10丁目7番1号,9,01101,"[141.347015, 43.021503]",1,28764.814,0.031288225955502444,0.31288225955502447,141.347015,43.021503
53,介護老人福祉施設,介護老人福祉施設　福寿園,札幌市北区東茨戸２条２丁目８番２１号,122,01102,"[141.358276, 43.164135]",1,37388.963,0.32629950180752537,3.262995018075254,141.358276,43.164135
54,介護老人保健施設,介護老人保健施設　茨戸アカシアハイツ,札幌市北区東茨戸２条３丁目２番５号,100,01102,"[141.357986, 43.163773]",1,37388.963,0.2674586080389552,2.674586080389552,141.357986,43.163773
55,介護老人保健施設,介護老人保健施設　セージュ新ことに,札幌市北区新琴似町７８７番地２，３,100,01102,"[141.296844, 43.130234]",1,37388.963,0.2674586080389552,2.674586080389552,141.296844,43.130234
56,介護老人保健施設,介護老人保健施設札幌北翔館そとこと,札幌市北区屯田９条３丁目３番地２,100,01102,"[141.341064, 43.142941]",1,37388.963,0.2674586080389552,2.674586080389552,141.341064,43.142941
57,介護老人福祉施設,特別養護老人ホーム　あいの郷,札幌市北区あいの里1条6丁目1番25号,100,01102,"[141.400986, 43.155506]",1,37388.963,0.2674586080389552,2.674586080389552,141.400986,43.155506
58,介護老人福祉施設,特別養護老人ホーム　オニオンコート,札幌市北区百合が原11丁目185－13,83,01102,"[141.367523, 43.132095]",1,37388.963,0.22199064467233282,2.219906446723328,141.367523,43.132095
59,介護老人福祉施設,特別養護老人ホーム　グリーンピア篠路,札幌市北区篠路２条９丁目１番８０号,83,01102,"[141.369446, 43.141022]",1,37388.963,0.22199064467233282,2.219906446723328,141.369446,43.141022
60,介護老人保健施設,介護老人保健施設ら・ぱーす,札幌市北区篠路町上篠路6番286,80,01102,"[141.380478, 43.127796]",1,37388.963,0.21396688643116418,2.1396688643116417,141.380478,43.127796
61,介護老人保健施設,介護老人保健施設　プラットホーム,札幌市北区あいの里２条１丁目２０－１,80,01102,"[141.384338, 43.159523]",1,37388.963,0.21396688643116418,2.1396688643116417,141.384338,43.159523
62,介護老人保健施設,介護老人福祉施設 サンビオーズ新琴似,札幌市北区新琴似2条5丁目1-1,80,01102,"[141.320801, 43.106117]",1,37388.963,0.21396688643116418,2.1396688643116417,141.320801,43.106117
63,介護老人福祉施設,特別養護老人ホーム　清明庵,札幌市北区屯田９条３丁目３番３０号,80,01102,"[141.34169, 43.143501]",1,37388.963,0.21396688643116418,2.1396688643116417,141.34169,43.143501
64,介護老人福祉施設,介護老人福祉施設白ゆりあいの里,札幌市北区あいの里３条８丁目１４番１号,80,01102,"[141.411789, 43.164818]",1,37388.963,0.21396688643116418,2.1396688643116417,141.411789,43.164818
65,介護老人福祉施設,介護老人福祉施設ら・せれな,札幌市北区百合が原3丁目１－１,80,01102,"[141.354507, 43.125286]",1,37388.963,0.21396688643116418,2.1396688643116417,141.354507,43.125286
66,介護老人福祉施設,特別養護老人ホーム七色の風,札幌市北区屯田9条9丁目5番15号,80,01102,"[141.324265, 43.144154]",1,37388.963,0.21396688643116418,2.1396688643116417,141.324265,43.144154
67,介護老人福祉施設,特別養護老人ホームしのろ三清荘,札幌市北区篠路5条8丁目2-8,80,01102,"[141.367676, 43.147736]",1,37388.963,0.21396688643116418,2.1396688643116417,141.367676,43.147736
68,介護老人福祉施設,新川エバーライフ,札幌市北区新川７１５番地２,64,01102,"[141.294891, 43.118393]",1,37388.963,0.17117350914493135,1.7117350914493135,141.294891,43.118393
69,介護老人福祉施設,特別養護老人ホーム清香園,札幌市北区新琴似1条3丁目3番6号,60,01102,"[141.32193, 43.104733]",1,37388.963,0.16047516482337312,1.6047516482337312,141.32193,43.104733
70,介護医療院,長生会病院　介護医療院,札幌市北区北25条西16丁目2番1号,46,01102,"[141.324387, 43.091133]",1,37388.963,0.12303095969791938,1.2303095969791937,141.324387,43.091133
71,介護老人福祉施設（地域密着型）,地域密着型介護老人福祉施設白ゆり南あいの里,札幌市北区南あいの里5丁目4番1号,29,01102,"[141.396912, 43.153896]",1,37388.963,0.07756299633129701,0.7756299633129702,141.396912,43.153896
72,認知症対応型共同生活介護,グループホームゆうあい,札幌市北区篠路2条7丁目6ｰ30,27,01102,"[141.36554, 43.142693]",1,37388.963,0.07221382417051792,0.7221382417051792,141.36554,43.142693
73,認知症対応型共同生活介護,グループホームグリーンピア,札幌市北区篠路１条９丁目１番４１号,27,01102,"[141.368042, 43.14098]",1,37388.963,0.07221382417051792,0.7221382417051792,141.368042,43.14098
74,認知症対応型共同生活介護,ふれあいの里グループホームたいへい,札幌市北区太平２条４丁目１番５５号,24,01102,"[141.347992, 43.124428]",1,37388.963,0.06419006592934925,0.6419006592934926,141.347992,43.124428
75,認知症対応型共同生活介護,グループホームふるさと,札幌市北区屯田９条９丁目６番６号,21,01102,"[141.324417, 43.144855]",1,37388.963,0.056166307688180594,0.561663076881806,141.324417,43.144855
76,認知症対応型共同生活介護,オークヴィレッジ　かるがも,札幌市北区新川４条１９丁目５番７号,18,01102,"[141.290405, 43.117531]",1,37388.963,0.048142549447011934,0.48142549447011934,141.290405,43.117531
77,認知症対応型共同生活介護,グループホームオニオンコート,札幌市北区百合が原１１丁目１８６－３,18,01102,"[141.367523, 43.132095]",1,37388.963,0.048142549447011934,0.48142549447011934,141.367523,43.132095
78,認知症対応型共同生活介護,グループホーム　からまつ,札幌市北区拓北4条3丁目10番17号,18,01102,"[141.382462, 43.153385]",1,37388.963,0.048142549447011934,0.48142549447011934,141.382462,43.153385
79,認知症対応型共同生活介護,グループホーム　蔵,札幌市北区新川2条10丁目1番35号,18,01102,"[141.306976, 43.105125]",1,37388.963,0.048142549447011934,0.48142549447011934,141.306976,43.105125
80,認知症対応型共同生活介護,グループホーム第２からまつ,札幌市北区屯田１１条１丁目２番５号,18,01102,"[141.347321, 43.145458]",1,37388.963,0.048142549447011934,0.48142549447011934,141.347321,43.145458
81,認知症対応型共同生活介護,グループホーム茨戸ふぁみりあ3号棟,札幌市北区東茨戸2条3丁目2-1,18,01102,"[141.357651, 43.163509]",1,37388.963,0.048142549447011934,0.48142549447011934,141.357651,43.163509
82,認知症対応型共同生活介護,グループホーム笑顔の村二番地,札幌市北区篠路３条１丁目１番３４－２,18,01102,"[141.351089, 43.145969]",1,37388.963,0.048142549447011934,0.48142549447011934,141.351089,43.145969
83,認知症対応型共同生活介護,グループホームあいの里,札幌市北区あいの里3条6丁目1番8号,18,01102,"[141.401154, 43.162754]",1,37388.963,0.048142549447011934,0.48142549447011934,141.401154,43.162754
84,認知症対応型共同生活介護,グループホーム百合が原ふぁみりあ1号棟・2号棟,札幌市北区百合が原4丁目3-1,18,01102,"[141.361694, 43.127743]",1,37388.963,0.048142549447011934,0.48142549447011934,141.361694,43.127743
85,認知症対応型共同生活介護,グループホームあいの里ふぁみりあ１号棟・２号棟,札幌市北区あいの里４条３丁目1-10,18,01102,"[141.389923, 43.165565]",1,37388.963,0.048142549447011934,0.48142549447011934,141.389923,43.165565
86,認知症対応型共同生活介護,グループホーム・ベル,札幌市北区屯田７条６丁目３－２１,18,01102,"[141.331741, 43.139175]",1,37388.963,0.048142549447011934,0.48142549447011934,141.331741,43.139175
87,認知症対応型共同生活介護,とらいあんぐるＪＯＹ,札幌市北区新琴似９条１丁目２番１７号,18,01102,"[141.337601, 43.11375]",1,37388.963,0.048142549447011934,0.48142549447011934,141.337601,43.11375
88,認知症対応型共同生活介護,グループホーム菜の花　しのろ館,札幌市北区篠路３条８丁目９番６６号,18,01102,"[141.369568, 43.144661]",1,37388.963,0.048142549447011934,0.48142549447011934,141.369568,43.144661
89,認知症対応型共同生活介護,グループホーム第２ふるさと,札幌市北区屯田6条10丁目6番23号,18,01102,"[141.320053, 43.137123]",1,37388.963,0.048142549447011934,0.48142549447011934,141.320053,43.137123
90,認知症対応型共同生活介護,グループホーム　ドルチェ,札幌市北区北２７条西１６丁目５番２１号,18,01102,"[141.325333, 43.097095]",1,37388.963,0.048142549447011934,0.48142549447011934,141.325333,43.097095
91,認知症対応型共同生活介護,グループホームポプラ,札幌市北区新川３条４丁目８番４０号,18,01102,"[141.31897, 43.100803]",1,37388.963,0.048142549447011934,0.48142549447011934,141.31897,43.100803
92,認知症対応型共同生活介護,グループホーム丸心,札幌市北区屯田６条６丁目４番４５号,18,01102,"[141.332977, 43.134888]",1,37388.963,0.048142549447011934,0.48142549447011934,141.332977,43.134888
93,認知症対応型共同生活介護,グループホームら・そしあ,札幌市北区新川1条6丁目3番3号,18,01102,"[141.31041, 43.099976]",1,37388.963,0.048142549447011934,0.48142549447011934,141.31041,43.099976
94,認知症対応型共同生活介護,グループホームかがやき,札幌市北区篠路2条7丁目5番22号,18,01102,"[141.364883, 43.142681]",1,37388.963,0.048142549447011934,0.48142549447011934,141.364883,43.142681
95,認知症対応型共同生活介護,グループホームもえれのお家屯田みやけ館よしお館,札幌市北区屯田7条5丁目2－20,18,01102,"[141.334274, 43.136703]",1,37388.963,0.048142549447011934,0.48142549447011934,141.334274,43.136703
96,認知症対応型共同生活介護,グループホームハートの家七番館,札幌市北区屯田９条９丁目6-3,18,01102,"[141.324356, 43.144592]",1,37388.963,0.048142549447011934,0.48142549447011934,141.324356,43.144592
97,認知症対応型共同生活介護,グループホームウェルスタイル拓北,札幌市北区拓北8条3丁目1-8,18,01102,"[141.381195, 43.158913]",1,37388.963,0.048142549447011934,0.48142549447011934,141.381195,43.158913
98,認知症対応型共同生活介護,もえれのお家篠路,札幌市北区篠路1条2丁目1－7,18,01102,"[141.351471, 43.140453]",1,37388.963,0.048142549447011934,0.48142549447011934,141.351471,43.140453
99,認知症対応型共同生活介護,グループホーム南あいの里館,札幌市北区南あいの里5丁目1番10号,18,01102,"[141.398376, 43.152866]",1,37388.963,0.048142549447011934,0.48142549447011934,141.398376,43.152866
100,認知症対応型共同生活介護,グループホームウェルスタイル屯田,札幌市北区屯田4条4丁目12‐35,18,01102,"[141.336487, 43.130039]",1,37388.963,0.048142549447011934,0.48142549447011934,141.336487,43.130039
101,認知症対応型共同生活介護,グループホーム　ハーモニー,札幌市北区新琴似6条14丁目８－２３,12,01102,"[141.311325, 43.120678]",1,37388.963,0.03209503296467463,0.3209503296467463,141.311325,43.120678
102,認知症対応型共同生活介護,グループホーム茨戸ふぁみりあ,札幌市北区東茨戸２条２丁目４－１,9,01102,"[141.356705, 43.163692]",1,37388.963,0.024071274723505967,0.24071274723505967,141.356705,43.163692
103,認知症対応型共同生活介護,グループホーム・ベルII,札幌市北区屯田７条６丁目３－１５,9,01102,"[141.331345, 43.138981]",1,37388.963,0.024071274723505967,0.24071274723505967,141.331345,43.138981
104,認知症対応型共同生活介護,グループホーム和,札幌市北区篠路4条8丁目9-1,9,01102,"[141.36673, 43.147331]",1,37388.963,0.024071274723505967,0.24071274723505967,141.36673,43.147331
105,認知症対応型共同生活介護,グループホームチロリン村,札幌市北区篠路４条２丁目３番８号,9,01102,"[141.352463, 43.148735]",1,37388.963,0.024071274723505967,0.24071274723505967,141.352463,43.148735
106,認知症対応型共同生活介護,グループホーム菜の花　麻生館,札幌市北区麻生町１丁目５番１８号,9,01102,"[141.343048, 43.108742]",1,37388.963,0.024071274723505967,0.24071274723505967,141.343048,43.108742
107,認知症対応型共同生活介護,グループホームひまわり,札幌市北区北18条西2丁目1番3号,9,01102,"[141.349976, 43.082462]",1,37388.963,0.024071274723505967,0.24071274723505967,141.349976,43.082462
108,認知症対応型共同生活介護,グループホーム　ライフケア北倶楽部,札幌市北区北28条西12丁目3-13,9,01102,"[141.330032, 43.096497]",1,37388.963,0.024071274723505967,0.24071274723505967,141.330032,43.096497
109,認知症対応型共同生活介護,グループホーム茨戸ふぁみりあ２号棟,札幌市北区東茨戸２条２丁目５－２０,9,01102,"[141.356812, 43.163834]",1,37388.963,0.024071274723505967,0.24071274723505967,141.356812,43.163834
110,認知症対応型共同生活介護,グループホーム　コンフォール,札幌市北区新川西3条3丁目12-15,9,01102,"[141.285309, 43.12569]",1,37388.963,0.024071274723505967,0.24071274723505967,141.285309,43.12569
111,認知症対応型共同生活介護,グループホームのどか,札幌市北区拓北５条３丁目１０－２６,9,01102,"[141.383255, 43.153545]",1,37388.963,0.024071274723505967,0.24071274723505967,141.383255,43.153545
112,認知症対応型共同生活介護,グループホーム　あいの里東倶楽部,札幌市北区あいの里３条７丁目５番７号,8,01102,"[141.407013, 43.162018]",1,37388.963,0.02139668864311642,0.21396688643116418,141.407013,43.162018
141,介護老人福祉施設,特別養護老人ホーム　大友恵愛園,札幌市東区北17条東5丁目2番5号,200,01103,"[141.358887, 43.083183]",1,33050.544,0.6051337611871078,6.051337611871078,141.358887,43.083183
142,介護老人保健施設,介護老人保健施設もえれパークサイド,札幌市東区中沼町１０５－４３,100,01103,"[141.419159, 43.128086]",1,33050.544,0.3025668805935539,3.025668805935539,141.419159,43.128086
143,介護老人保健施設,介護老人保健施設おおぞら,札幌市東区丘珠町167-10,100,01103,"[141.383713, 43.113415]",1,33050.544,0.3025668805935539,3.025668805935539,141.383713,43.113415
144,介護老人保健施設,介護老人保健施設さっぽろ東ナーシング,札幌市東区丘珠町291番地,100,01103,"[141.397141, 43.116695]",1,33050.544,0.3025668805935539,3.025668805935539,141.397141,43.116695
145,介護老人保健施設,医療法人社団豊生会　介護老人保健施設ひまわり,札幌市東区東苗穂3条1丁目2-18,90,01103,"[141.398849, 43.088448]",1,33050.544,0.2723101925341985,2.723101925341985,141.398849,43.088448
146,介護老人福祉施設,特別養護老人ホーム神遊,札幌市東区北39条東1丁目2番21号,90,01103,"[141.345322, 43.106876]",1,33050.544,0.2723101925341985,2.723101925341985,141.345322,43.106876
147,介護老人保健施設,医療法人徳洲会　介護老人保健施設徳洲苑なえぼ,札幌市東区北7条東18丁目2番30号,85,01103,"[141.380753, 43.074791]",1,33050.544,0.2571818485045208,2.571818485045208,141.380753,43.074791
148,介護老人保健施設,介護老人保健施設　あすかHOUSE東苗穂,札幌市東区東苗穂６条３丁目１１番５５号,80,01103,"[141.412704, 43.089703]",1,33050.544,0.2420535044748431,2.4205350447484313,141.412704,43.089703
149,介護老人福祉施設,特別養護老人ホーム　藤苑,札幌市東区伏古７条３丁目１番３３号,80,01103,"[141.392929, 43.089554]",1,33050.544,0.2420535044748431,2.4205350447484313,141.392929,43.089554
150,介護老人福祉施設,特別養護老人ホーム　セボラ・コリーナ,札幌市東区北42条東19丁目1番10号,80,01103,"[141.373108, 43.114815]",1,33050.544,0.2420535044748431,2.4205350447484313,141.373108,43.114815
151,介護老人福祉施設,特別養護老人ホームフローラルさつなえ,札幌市東区東苗穂1条3丁目2番16号,80,01103,"[141.402008, 43.078594]",1,33050.544,0.2420535044748431,2.4205350447484313,141.402008,43.078594
152,介護老人福祉施設,特別養護老人ホーム　ひかりの,札幌市東区東雁来12条4丁目1－15,80,01103,"[141.438843, 43.099171]",1,33050.544,0.2420535044748431,2.4205350447484313,141.438843,43.099171
153,介護老人福祉施設,特別養護老人ホーム　モエレの里,札幌市東区東雁来11条3丁目2番15号,80,01103,"[141.431366, 43.09827]",1,33050.544,0.2420535044748431,2.4205350447484313,141.431366,43.09827
154,介護療養型医療施設,医療法人社団英仁会　札苗病院,札幌市東区東苗穂７条２丁目8番２０号,74,01103,"[141.412888, 43.094833]",1,33050.544,0.2238994916392299,2.238994916392299,141.412888,43.094833
155,介護老人福祉施設,特別養護老人ホームウィズ東苗穂,札幌市東区東苗穂町1089番1,60,01103,"[141.409821, 43.103996]",1,33050.544,0.18154012835613234,1.8154012835613234,141.409821,43.103996
156,介護老人福祉施設（地域密着型）,地域密着型介護老人福祉施設栄町,札幌市東区北47条東17丁目1番1号,29,01103,"[141.367126, 43.119167]",1,33050.544,0.08774439537213063,0.8774439537213063,141.367126,43.119167
157,認知症対応型共同生活介護,医療法人社団　豊生会　グループホーム　すぎの子,札幌市東区東苗穂３条１丁目１３－２９,27,01103,"[141.399521, 43.08577]",1,33050.544,0.08169305776025955,0.8169305776025955,141.399521,43.08577
158,認知症対応型共同生活介護,はまなす介護センター光星,札幌市東区北１３条東１３丁目２番３号,27,01103,"[141.371872, 43.079411]",1,33050.544,0.08169305776025955,0.8169305776025955,141.371872,43.079411
159,認知症対応型共同生活介護,グループホーム　すぎの子家族,札幌市東区伏古６条４丁目１－１８,24,01103,"[141.394913, 43.088459]",1,33050.544,0.07261605134245293,0.7261605134245293,141.394913,43.088459
160,認知症対応型共同生活介護,グループホーム藤苑,札幌市東区伏古7条3丁目2-34,18,01103,"[141.393219, 43.089943]",1,33050.544,0.0544620385068397,0.544620385068397,141.393219,43.089943
161,認知症対応型共同生活介護,満快のふる郷さくら東苗穂,札幌市東区東苗穂5条2丁目9番28号,18,01103,"[141.408096, 43.088596]",1,33050.544,0.0544620385068397,0.544620385068397,141.408096,43.088596
162,認知症対応型共同生活介護,グループホーム菜の花　東苗穂館,札幌市東区東苗穂８条２丁目１３番１０号,18,01103,"[141.413086, 43.098442]",1,33050.544,0.0544620385068397,0.544620385068397,141.413086,43.098442
163,認知症対応型共同生活介護,グループホーム　伏古公園,札幌市東区伏古１条２丁目３番２３号,18,01103,"[141.387924, 43.084812]",1,33050.544,0.0544620385068397,0.544620385068397,141.387924,43.084812
164,認知症対応型共同生活介護,グループホーム　ハートの家弐番館,札幌市東区東雁来9条1丁目8番5号,18,01103,"[141.422028, 43.096584]",1,33050.544,0.0544620385068397,0.544620385068397,141.422028,43.096584
165,認知症対応型共同生活介護,エターナルアドバンス,札幌市東区東苗穂13条2丁目24－35,18,01103,"[141.421753, 43.1092]",1,33050.544,0.0544620385068397,0.544620385068397,141.421753,43.1092
166,認知症対応型共同生活介護,グループホームとうぶはうす,札幌市東区北４３条東９丁目１番６号,18,01103,"[141.357544, 43.113106]",1,33050.544,0.0544620385068397,0.544620385068397,141.357544,43.113106
167,認知症対応型共同生活介護,グループホーム　せせらぎの森,札幌市東区東苗穂7条3丁目1番5号,18,01103,"[141.412079, 43.093418]",1,33050.544,0.0544620385068397,0.544620385068397,141.412079,43.093418
168,認知症対応型共同生活介護,ニチイケアセンター東苗穂,札幌市東区東苗穂10条2丁目10－23,18,01103,"[141.417068, 43.100227]",1,33050.544,0.0544620385068397,0.544620385068397,141.417068,43.100227
169,認知症対応型共同生活介護,ニチイケアセンター元町,札幌市東区北25条東20丁目5-15,18,01103,"[141.383118, 43.096516]",1,33050.544,0.0544620385068397,0.544620385068397,141.383118,43.096516
170,認知症対応型共同生活介護,ヒューマンライフケア大倉湯,札幌市東区北２３条東５丁目５－２１,18,01103,"[141.357651, 43.091309]",1,33050.544,0.0544620385068397,0.544620385068397,141.357651,43.091309
171,認知症対応型共同生活介護,ヒューマンライフケア大倉湯２号館,札幌市東区北23条東5丁目6-18,18,01103,"[141.357849, 43.090786]",1,33050.544,0.0544620385068397,0.544620385068397,141.357849,43.090786
172,認知症対応型共同生活介護,グループホームユキササの家,札幌市東区北16条東3丁目1番50号,18,01103,"[141.357117, 43.080765]",1,33050.544,0.0544620385068397,0.544620385068397,141.357117,43.080765
173,認知症対応型共同生活介護,グループホームもえれのお家大和館・バルブロ館,札幌市東区中沼西2条2丁目7－5,18,01103,"[141.416382, 43.127975]",1,33050.544,0.0544620385068397,0.544620385068397,141.416382,43.127975
174,認知症対応型共同生活介護,グループホームもえれのお家アカシア館・ポプラ館,札幌市東区伏古13条3丁目11-17,18,01103,"[141.400558, 43.101528]",1,33050.544,0.0544620385068397,0.544620385068397,141.400558,43.101528
175,認知症対応型共同生活介護,グループホームもえれのお家優林・森和,札幌市東区北35条東28丁目9-11,18,01103,"[141.393539, 43.09988]",1,33050.544,0.0544620385068397,0.544620385068397,141.393539,43.09988
176,認知症対応型共同生活介護,グループホームいきいき栄,札幌市東区北42条東5丁目3番1号,18,01103,"[141.352371, 43.111008]",1,33050.544,0.0544620385068397,0.544620385068397,141.352371,43.111008
177,認知症対応型共同生活介護,グループホーム菜の花北丘珠館,札幌市東区北丘珠４条１丁目４番１６号,18,01103,"[141.401932, 43.127251]",1,33050.544,0.0544620385068397,0.544620385068397,141.401932,43.127251
178,認知症対応型共同生活介護,グループホームひかりのの家,札幌市東区東雁来12条4丁目1-12,18,01103,"[141.438522, 43.0993]",1,33050.544,0.0544620385068397,0.544620385068397,141.438522,43.0993
179,認知症対応型共同生活介護,グループホーム 夢,札幌市東区東苗穂13条2丁目24-35,18,01103,"[141.421753, 43.1092]",1,33050.544,0.0544620385068397,0.544620385068397,141.421753,43.1092
180,認知症対応型共同生活介護,グループホーム伏古,札幌市東区伏古９条２丁目７番１６号,18,01103,"[141.393661, 43.094322]",1,33050.544,0.0544620385068397,0.544620385068397,141.393661,43.094322
181,認知症対応型共同生活介護,グループホームたんぽぽ札幌新道東,札幌市東区北36条東21丁目3番3号,18,01103,"[141.378189, 43.107494]",1,33050.544,0.0544620385068397,0.544620385068397,141.378189,43.107494
182,認知症対応型共同生活介護,ライブラリ元町2番館,札幌市東区北23条東16丁目4番27号,18,01103,"[141.373505, 43.092701]",1,33050.544,0.0544620385068397,0.544620385068397,141.373505,43.092701
